filename, language, JSON, JavaScript, YAML, Dockerfile, comment, blank, total
server\api\controllers\user\edit.js, JavaScript, 0, 267, 0, 0, 12, 11, 290
server\api\controllers\user\info.js, JavaScript, 0, 98, 0, 0, 1, 6, 105
server\api\middlewares\authentication.js, JavaScript, 0, 114, 0, 0, 0, 8, 122
server\api\middlewares\passportJWTConfig.js, JavaScript, 0, 17, 0, 0, 0, 1, 18
server\api\middlewares\uploadMiddleware.js, JavaScript, 0, 7, 0, 0, 0, 2, 9
server\api\models\activities.js, JavaScript, 0, 19, 0, 0, 1, 3, 23
server\api\models\assignments.js, JavaScript, 0, 23, 0, 0, 1, 2, 26
server\api\models\configuration.js, JavaScript, 0, 19, 0, 0, 0, 2, 21
server\api\models\databaseConnection.js, JavaScript, 0, 13, 0, 0, 1, 3, 17
server\api\models\databaseRelations.js, JavaScript, 0, 136, 0, 0, 0, 14, 150
server\api\models\dependencies.js, JavaScript, 0, 23, 0, 0, 1, 2, 26
server\api\models\milestone.js, JavaScript, 0, 23, 0, 0, 1, 3, 27
server\api\models\notConfirmedUsers.js, JavaScript, 0, 37, 0, 0, 1, 2, 40
server\api\models\projectMembers.js, JavaScript, 0, 23, 0, 0, 1, 3, 27
server\api\models\projects.js, JavaScript, 0, 49, 0, 0, 1, 3, 53
server\api\models\sprints.js, JavaScript, 0, 35, 0, 0, 1, 4, 40
server\api\models\stories.js, JavaScript, 0, 74, 0, 0, 11, 4, 89
server\api\models\storySprints.js, JavaScript, 0, 23, 0, 0, 1, 2, 26
server\api\models\users.js, JavaScript, 0, 37, 0, 0, 1, 2, 40
server\api\routes\activityRouter.js, JavaScript, 0, 22, 0, 0, 0, 2, 24
server\api\routes\assignmentRouter.js, JavaScript, 0, 22, 0, 0, 0, 5, 27
server\api\routes\configurationRouter.js, JavaScript, 0, 7, 0, 0, 0, 2, 9
server\api\routes\createData.js, JavaScript, 0, 7, 0, 0, 6, 3, 16
server\api\routes\dependencyRouter.js, JavaScript, 0, 22, 0, 0, 1, 5, 28
server\api\routes\milestoneRouter.js, JavaScript, 0, 31, 0, 0, 0, 1, 32
server\api\routes\projectMemberRoutes.js, JavaScript, 0, 40, 0, 0, 0, 2, 42
server\api\routes\projectRoutes.js, JavaScript, 0, 91, 0, 0, 8, 14, 113
server\api\routes\router.js, JavaScript, 0, 24, 0, 0, 0, 3, 27
server\api\routes\sprintRouter.js, JavaScript, 0, 55, 0, 0, 8, 5, 68
